university,major,start_year,in_iran,not_in_iran,,,,,
Beheshti,Physics,2008,234,369,,,,,
Beheshti,Computer Science,2008,401,714,,,,,
Beheshti,Materials Engineering,2008,88,257,,,,,
Beheshti,Chemical Sciences,2008,72,152,,,,,
Beheshti,Mechanical,2013,416,178,,,,,
Beheshti,Electrical,2013,792,454,,,,,
Beheshti,Chemical Engineering,2013,98,109,,,,,
Beheshti,Civil Engineering,2013,679,289,,,,,
Beheshti,Industrial Engineering,2013,686,312,,,,,
Beheshti,Mathematics,2013,812,387,,,,,
Beheshti,Computer Engineering,2013,1037,692,,,,,
Beheshti,Physics,2013,659,392,,,,,
Beheshti,Computer Science,2013,888,702,,,,,
Beheshti,Materials Engineering,2013,136,242,,,,,
Beheshti,Chemical Sciences,2013,103,155,,,,,
Elmos,Mechanical,2003,1054,1200,,,,,
Elmos,Electrical,2003,671,1027,,,,,
Elmos,Chemical Engineering,2003,378,479,,,,,
Elmos,Civil Engineering,2003,815,1074,,,,,
Elmos,Industrial Engineering,2003,1558,1588,,,,,
Elmos,Mathematics,2003,518,561,,,,,
Elmos,Computer Engineering,2003,793,1512,,,,,
Elmos,Physics,2003,283,562,,,,,
Elmos,Computer Science,2003,944,1612,,,,,
Elmos,Materials Engineering,2003,549,1076,,,,,
Elmos,Chemical Sciences,2003,26,86,,,,,
Elmos,Mechanical,2008,1542,925,,,,,
Elmos,Electrical,2008,1080,853,,,,,
Elmos,Chemical Engineering,2008,580,395,,,,,
Elmos,Civil Engineering,2008,1247,814,,,,,
Elmos,Industrial Engineering,2008,2125,1121,,,,,
Elmos,Mathematics,2008,868,565,,,,,
Elmos,Computer Engineering,2008,1248,1270,,,,,
Elmos,Physics,2008,535,490,,,,,
Elmos,Computer Science,2008,1542,1378,,,,,
Elmos,Materials Engineering,2008,796,846,,,,,
Elmos,Chemical Sciences,2008,600,417,,,,,
Elmos,Mechanical,2013,1542,925,,,,,
Elmos,Electrical,2013,1080,853,,,,,
Elmos,Chemical Engineering,2013,580,395,,,,,
Elmos,Civil Engineering,2013,1247,814,,,,,
Elmos,Industrial Engineering,2013,2125,1121,,,,,
Elmos,Mathematics,2013,868,565,,,,,
Elmos,Computer Engineering,2013,1248,1270,,,,,
Elmos,Physics,2013,535,490,,,,,
Elmos,Computer Science,2013,1542,1378,,,,,
Elmos,Materials Engineering,2013,796,846,,,,,
Elmos,Chemical Sciences,2013,34,77,,,,,
